Date,Open,High,Low,Close,Volume
2020-09-04,153.0,155.47,147.13,148.59,35426649
2020-08-28,152.74,153.7,150.35,153.64,28230822
2020-08-21,148.32,153.65,148.23,152.76,27898287
2020-08-14,148.86,150.24,146.37,148.24,25138782
2020-08-07,146.39,149.31,145.8247,148.6,22208041
2020-07-31,147.37,148.92,143.96,145.76,29186964
2020-07-24,150.23,151.67,147.03,148.12,29647444
2020-07-17,143.61,150.58,143.28,149.35,39584655
2020-07-10,142.17,144.43,140.58,142.37,28047041
2020-07-02,138.74,141.84,137.84,140.97,24390175
2020-06-26,143.47,144.08,137.02,137.81,39678683
2020-06-19,141.0,145.88,139.39,143.83,38194672
2020-06-12,145.88,150.03,140.28,142.15,46488627
2020-06-05,147.29,149.64,145.58,147.3,36446924
2020-05-29,146.19,149.35,143.01,148.75,29712669
2020-05-22,152.49,153.62,144.06,144.37,31878835
2020-05-15,148.45,150.48,144.26,150.44,37092948
2020-05-08,148.77,150.78,147.09,148.7,30229206
2020-05-01,154.81,156.05,146.79,148.29,48888300
2020-04-24,150.93,157.0,148.57,154.86,53013551
2020-04-17,140.0,152.3,137.84,152.02,56977544
2020-04-09,137.01,145.42,135.54,141.23,48425413
2020-04-03,128.46,135.71,125.5,134.17,71633233
2020-03-27,117.0,127.62,109.16,123.16,79575060
2020-03-20,123.57,136.77,118.13,119.89,93511731
2020-03-13,136.33,141.95,124.5,134.29,85369777
2020-03-06,134.78,143.64,133.1,142.03,59302386
2020-02-28,146.5,149.0,130.82,134.48,63595944
2020-02-21,150.47,150.74,147.4,149.93,28585424
2020-02-14,151.68,152.38,149.15,150.13,24914180
2020-02-07,149.42,154.5,149.24,151.89,30187147
2020-01-31,147.52,151.19,147.0,148.87,36332756
2020-01-24,148.58,150.17,146.0,148.32,37557920
2020-01-17,145.48,149.41,144.72,149.17,32150554
2020-01-10,144.0,146.18,141.38,145.06,32877116
2020-01-03,145.78,146.2,143.0,144.28,18887694
2019-12-27,145.74,146.76,145.16,145.75,17249651
2019-12-20,141.73,147.84,141.49,146.06,47111186
2019-12-13,140.39,142.06,139.91,141.38,25318652
2019-12-06,137.72,141.58,136.16,140.38,30501790
2019-11-29,137.06,138.27,135.15,137.49,25557633
2019-11-22,134.22,138.63,132.66,138.07,37737146
2019-11-15,132.27,134.97,130.14,134.94,30230627
2019-11-08,131.8,133.04,129.68,133.0,28717209
2019-11-01,128.62,133.53,128.51,131.2,35177517
2019-10-25,128.67,130.58,126.1,128.35,47544304
2019-10-18,131.36,137.49,127.7,127.7,62836660
2019-10-11,133.09,133.82,128.52,131.33,33644873
2019-10-04,129.07,134.7,129.0,133.66,41206916
2019-09-27,131.02,132.78,126.7,128.6,30823890
2019-09-20,130.11,132.0,128.78,131.65,31656629
2019-09-13,128.0,131.77,126.34,130.78,32744061
2019-09-06,127.99,129.9,127.51,128.21,22029815
2019-08-30,127.42,132.4,126.63,128.36,53102687
2019-08-23,132.5,132.66,127.13,127.73,42102349
2019-08-16,131.5,134.1,129.25,131.36,31515946
2019-08-09,130.91,132.76,128.19,132.04,34070186
2019-08-02,131.0,133.31,129.02,131.07,36346486
2019-07-26,130.0,131.53,127.84,130.73,39060374
2019-07-19,135.39,136.36,130.19,130.31,43658833
2019-07-12,140.12,142.47,132.32,134.3,36767721
2019-07-05,140.2,142.18,138.69,140.57,18465045
2019-06-28,142.42,144.98,138.51,139.28,39111889
2019-06-21,140.0,142.43,139.21,142.09,37687167
2019-06-14,138.6,142.91,137.6,140.09,36490926
2019-06-07,131.5,139.59,131.04,138.55,37594218
2019-05-31,139.0,140.49,128.52,131.15,50338987
2019-05-24,138.61,139.85,137.49,138.85,27512310
2019-05-17,137.85,139.19,135.33,138.61,32941677
2019-05-10,140.25,142.24,136.41,139.05,27468628
2019-05-03,140.35,142.35,138.96,142.01,31052412
2019-04-26,136.98,140.85,136.46,140.39,25965028
2019-04-18,136.0,140.7,135.75,137.52,36155647
2019-04-12,136.05,136.51,134.42,135.98,23976562
2019-04-05,139.99,140.29,135.13,136.18,27954723
2019-03-29,136.91,139.88,135.74,139.79,27794590
2019-03-22,137.65,138.82,136.65,136.91,31021896
