Date,Open,High,Low,Close,Volume,overall_sentiment_score
2015-07-31,126.9,132.97,119.22,121.3,1058280697.0,
2015-06-30,131.2,131.39,124.48,125.425,878606841.0,
2015-05-29,126.1,132.97,123.36,130.28,954152126.0,
2015-04-30,124.82,134.54,123.1,125.15,996135511.0,
2015-03-31,129.25,130.28,121.63,124.43,1138641910.0,
2015-02-27,118.05,133.6,116.08,128.46,1136535493.0,
2015-01-30,111.39,120.0,104.63,117.16,1304879185.0,
2014-12-31,118.81,119.25,106.26,110.38,1073775862.0,
2014-11-28,108.22,119.75,107.72,118.93,820471729.0,
2014-10-31,100.59,108.04,95.18,108.0,1360280122.0,
2014-09-30,103.06,103.74,96.14,100.75,1523782675.0,
2014-08-29,94.9,102.9,93.28,102.5,930931500.0,
2014-07-31,93.52,99.44,92.57,95.6,1035191700.0,
2014-06-30,633.96,651.26,89.65,92.93,853194497.0,
2014-05-30,592.0,644.17,580.33,633.0,204845300.0,
2014-04-30,537.76,599.43,511.33,590.09,229823600.0,
2014-03-31,523.42,549.0,522.81,536.74,178632100.0,
2014-02-28,502.61,551.19,499.3,526.24,210013100.0,
2014-01-31,555.68,560.2,493.55,500.6,313069800.0,
2013-12-31,558.0,575.1358,538.8,561.02,252049900.0,
2013-11-29,524.02,558.33,512.38,556.07,186612700.0,
2013-10-31,478.45,539.25,478.28,522.702,279919000.0,
2013-09-30,493.1,507.92,447.22,476.75,308247900.0,
2013-08-30,455.7527,513.74,453.26,487.216,287797800.0,
2013-07-31,402.69,457.3425,401.22,452.53,233504100.0,
2013-06-28,450.73,454.43,388.87,396.53,250662000.0,
2013-05-31,444.46,465.75,418.9,449.735,337411800.0,
2013-04-30,441.9,445.25,385.1,442.78,391553200.0,
2013-03-28,438.0,469.95,419.0,442.66,327745600.0,
2013-02-28,459.11,484.94,437.66,441.4,333715500.0,
2013-01-31,553.82,555.0,435.0,455.49,468693700.0,
2012-12-31,593.65,594.59,501.23,532.1729,433312600.0,
2012-11-30,598.22,603.0,505.7501,585.28,461780400.0,
2012-10-31,671.5,676.75,587.7,595.32,433672500.0,
2012-09-28,665.76,705.07,656.0,667.105,328535900.0,
2012-08-31,615.905,680.87,600.25,665.24,295578800.0,
2012-07-31,584.73,619.87,570.0,610.76,318201800.0,
2012-06-29,569.16,590.0,548.5,584.0,280565200.0,
2012-05-31,584.9,596.76,522.18,577.73,396655200.0,
2012-04-30,601.83,644.0,555.0,583.98,557106800.0,
2012-03-30,548.17,621.45,516.221,599.55,556583500.0,
2012-02-29,458.41,547.61,453.98,542.44,406019800.0,
2012-01-31,409.4,458.24,409.0,456.48,244994800.0,
2011-12-30,382.54,409.09,377.68,405.0,225233300.0,
2011-11-30,397.41,408.0,363.32,382.2,320132200.0,
2011-10-31,380.37,426.7,354.24,404.78,469336700.0,
2011-09-30,385.82,422.86,366.48,381.32,427766000.0,
2011-08-31,397.78,399.5,353.02,384.83,576521400.0,
2011-07-29,335.95,404.5,334.2,390.48,380498100.0,
2011-06-30,348.87,352.132,310.5,335.67,330851800.0,
2011-05-31,349.74,351.83,329.42,347.83,246859300.0,
2011-04-29,351.11,355.13,320.16,350.13,330493900.0,
2011-03-31,355.47,361.67,326.26,348.5075,403802100.0,
2011-02-28,341.3,364.9,337.72,353.21,331998200.0,
2011-01-31,325.64,348.6,324.8365,339.32,387197700.0,
2010-12-31,315.27,326.66,314.89,322.56,249044100.0,
2010-11-30,302.22,321.3,297.76,311.15,339574500.0,
2010-10-29,283.75,319.0,277.77,300.98,436949200.0,
2010-09-30,247.47,294.73,246.28,283.75,423211400.0,
2010-08-31,260.44,264.28,235.56,243.1,342468600.0,
2010-07-30,254.3,265.99,239.6,257.25,559632300.0,
2010-06-30,259.69,279.01,242.2,251.53,594687600.0,
2010-05-28,263.84,267.88,199.25,256.88,645809100.0,
2010-04-30,237.49,272.46,232.75,261.09,441683200.0,
2010-03-31,205.75,237.48,205.45,235.0,434077600.0,
2010-02-26,192.37,205.17,190.85,204.62,384860000.0,
2010-01-29,213.43,215.59,190.25,192.063,541749800.0,
2009-12-31,202.24,213.95,188.68,210.732,406927100.0,
